URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	Dedicated instance	Disabled deeper C-states	Disabled turbo boost	Disabled hyper-threading	Time
2021_11_11_09_20_1_aws_arm64_c6g_4xlarge	aws_arm64_c6g_4xlarge	AWS ARM64 (c6g.4xlarge)	aws	host	c6g.4xlarge	aarch64		16	30 GB	4.14.252-195.483.amzn2.aarch64	Amazon Linux 2	0	0	0	0	2021-11-11 09:20:00

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	Dedicated instance	Disabled deeper C-states	Disabled turbo boost	Disabled hyper-threading	Time
2021_11_25_10_08_1_aws_arm64_c6g_4xlarge	aws_arm64_c6g_4xlarge	AWS ARM64 (c6g.4xlarge)	aws	host	c6g.4xlarge	aarch64		16	30 GB	4.14.252-195.483.amzn2.aarch64	Amazon Linux 2	0	0	0	0	2021-11-25 10:08:00
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Memory usage
micro_bench.php	5	15	0	PHP 8.1 (JIT)	80d63e9d17fd244624b2b6ecb29b6462a92bc0f0	https://github.com/php/php-src/commit/80d63e9d17fd244624b2b6ecb29b6462a92bc0f0	1.19378	1.20010	0.00167	1.19601	-46.25	1.19549	-46.29	19.22
micro_bench.php	5	15	0	PHP 8.1 (preloading)	80d63e9d17fd244624b2b6ecb29b6462a92bc0f0	https://github.com/php/php-src/commit/80d63e9d17fd244624b2b6ecb29b6462a92bc0f0	2.03869	2.05123	0.00327	2.04478	-8.10	2.04487	-8.12	17.88
micro_bench.php	5	15	0	PHP 8.2	d0a3cc146db9bf7c18d8860dcd5442da8354406c	https://github.com/php/php-src/commit/d0a3cc146db9bf7c18d8860dcd5442da8354406c	2.05081	2.05579	0.00178	2.05376	-7.70	2.05462	-7.68	17.51


URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Disabled deeper C-states	Disabled turbo boost	Disabled hyper-threading	Time
2022_05_16_13_38_1_aws_arm64_c6g_4xlarge	aws_arm64_c6g_4xlarge	AWS ARM64 (c6g.4xlarge)	aws	host	c6g.4xlarge	aarch64		16	30 GB	5.15.29-16.111.amzn2022.aarch64	Amazon Linux 2022	11.2.1	0	0	0	0	2022-05-16 13:38:00
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Memory usage
Laravel demo app	50	25	250	PHP 8.0	3f1e1b9ddfd5f7fe7706347109df14b261cf0855	https://github.com/php/php-src/commit/3f1e1b9ddfd5f7fe7706347109df14b261cf0855	1.50909	1.67276	0.03820	1.59090	0.00	1.58553	0.00	37.86
Laravel demo app	50	25	250	PHP 8.1	84c1e99ecfc8c5e025f07573f033cc60ccae8db3	https://github.com/php/php-src/commit/84c1e99ecfc8c5e025f07573f033cc60ccae8db3	1.16458	1.27590	0.03040	1.21663	-23.53	1.20919	-23.74	39.64
Laravel demo app	50	25	250	PHP 8.2	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	1.14280	1.25392	0.02784	1.19765	-24.72	1.20120	-24.24	39.27
Laravel demo app	50	25	250	PHP 8.2 (JIT)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	1.19127	1.32476	0.03178	1.24785	-21.56	1.24786	-21.30	48.10
Laravel demo app	50	25	250	PHP 8.2 (preloading)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	1.18856	1.32027	0.03819	1.26153	-20.70	1.26527	-20.20	39.40
Symfony demo app	50	25	250	PHP 8.0	3f1e1b9ddfd5f7fe7706347109df14b261cf0855	https://github.com/php/php-src/commit/3f1e1b9ddfd5f7fe7706347109df14b261cf0855	1.93458	2.01870	0.01951	1.98345	0.00	1.98538	0.00	37.16
Symfony demo app	50	25	250	PHP 8.1	84c1e99ecfc8c5e025f07573f033cc60ccae8db3	https://github.com/php/php-src/commit/84c1e99ecfc8c5e025f07573f033cc60ccae8db3	1.48953	1.60198	0.02765	1.54250	-22.23	1.54412	-22.23	38.12
Symfony demo app	50	25	250	PHP 8.2	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	1.48312	1.61975	0.03844	1.54528	-22.09	1.55281	-21.79	37.23
Symfony demo app	50	25	250	PHP 8.2 (JIT)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	1.51819	1.62776	0.02932	1.56065	-21.32	1.55721	-21.57	46.10
Symfony demo app	50	25	250	PHP 8.2 (preloading)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	1.46707	1.60707	0.03095	1.52293	-23.22	1.52550	-23.16	37.18
bench.php	5	15	0	PHP 8.0	3f1e1b9ddfd5f7fe7706347109df14b261cf0855	https://github.com/php/php-src/commit/3f1e1b9ddfd5f7fe7706347109df14b261cf0855	0.33273	0.33617	0.00115	0.33397	0.00	0.33341	0.00	26.80
bench.php	5	15	0	PHP 8.1	84c1e99ecfc8c5e025f07573f033cc60ccae8db3	https://github.com/php/php-src/commit/84c1e99ecfc8c5e025f07573f033cc60ccae8db3	0.34723	0.34970	0.00075	0.34788	4.17	0.34761	4.26	27.25
bench.php	5	15	0	PHP 8.2	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	0.33291	0.33662	0.00127	0.33400	0.01	0.33344	0.01	26.75
bench.php	5	15	0	PHP 8.2 (JIT)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	0.10630	0.10883	0.00076	0.10703	-67.95	0.10684	-67.96	28.63
bench.php	5	15	0	PHP 8.2 (preloading)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	0.33204	0.33793	0.00175	0.33534	0.41	0.33547	0.62	26.66
micro_bench.php	5	15	0	PHP 8.0	3f1e1b9ddfd5f7fe7706347109df14b261cf0855	https://github.com/php/php-src/commit/3f1e1b9ddfd5f7fe7706347109df14b261cf0855	2.11171	2.12044	0.00216	2.11348	0.00	2.11328	0.00	20.77
micro_bench.php	5	15	0	PHP 8.1	84c1e99ecfc8c5e025f07573f033cc60ccae8db3	https://github.com/php/php-src/commit/84c1e99ecfc8c5e025f07573f033cc60ccae8db3	2.06373	2.07923	0.00571	2.07109	-2.01	2.07073	-2.01	20.97
micro_bench.php	5	15	0	PHP 8.2	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	2.05952	2.07195	0.00440	2.06429	-2.33	2.06193	-2.43	21.07
micro_bench.php	5	15	0	PHP 8.2 (JIT)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	1.20828	1.21603	0.00172	1.21292	-42.61	1.21315	-42.59	22.79
micro_bench.php	5	15	0	PHP 8.2 (preloading)	c732549200138f0649eedff9829eab3c2d37aade	https://github.com/php/php-src/commit/c732549200138f0649eedff9829eab3c2d37aade	2.05204	2.06632	0.00340	2.05519	-2.76	2.05463	-2.78	21.23

